model,cat,strategy,divider,overlap,met,score
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.09,map50,0.6111
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.6479
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0001
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.05,map50,0.5875
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.0,map50,0.5781
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.6199
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0009
rtdetr-l,B_finetuned_unsupervised,bo_exploration,2.0,0.45,map50,0.4432
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.02,map50,0.6505
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.6946
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,0.18,map50,0.6493
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,0.0,map50,0.7025
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7025
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0013
rtdetr-l,A_unfinetuned,bo_exploration,2.0,0.3,map50,0.4855
rtdetr-l,A_unfinetuned,bo_exploitation,2.0,0.38,map50,0.4841
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.6607
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.47,map50,0.6404
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.37,map50,0.6326
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.6754
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,0.18,map50,0.6258
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.23,map50,0.6213
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.6729
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0002
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.09,map50,0.624
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.27,map50,0.6191
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.6683
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0068
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.16,map50,0.6451
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.5,map50,0.6439
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.6764
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,0.23,map50,0.6737
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.26,map50,0.6429
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.679
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0001
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.0,map50,0.6358
rtdetr-l,A_unfinetuned,bo_exploitation,4.0,0.32,map50,0.6348
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.6333
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0002
yolo11n,B_finetuned_unsupervised,bo_exploration,4.0,0.5,map50,0.7248
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.18,map50,0.6972
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7248
yolo11n,C_finetuned_supervised,bo_exploration,2.0,0.13,map50,0.5105
yolo11n,C_finetuned_supervised,bo_exploitation,2.0,0.5,map50,0.5174
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7428
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0
yolo11m,A_unfinetuned,bo_exploration,4.0,0.11,map50,0.7436
yolo11m,A_unfinetuned,bo_exploitation,2.0,0.5,map50,0.5926
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.7417
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.4,map50,0.7986
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.45,map50,0.7997
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.8224
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.31,map50,0.8223
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.36,map50,0.7959
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.8384
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0
yolo11n,A_unfinetuned,bo_exploration,3.0,0.34,map50,0.7004
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.27,map50,0.5474
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7464
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0004
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.5,map50,0.7032
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.39,map50,0.6995
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7415
yolo11n,C_finetuned_supervised,bo_exploration,2.0,0.31,map50,0.5112
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.13,map50,0.7091
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7671
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0005
yolo11m,A_unfinetuned,bo_exploration,3.0,0.33,map50,0.6408
yolo11m,A_unfinetuned,bo_exploitation,2.0,0.24,map50,0.5248
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.649
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11m,B_finetuned_unsupervised,bo_exploration,2.0,0.18,map50,0.6557
yolo11m,B_finetuned_unsupervised,bo_exploitation,2.0,0.44,map50,0.6556
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.8222
yolo11m,C_finetuned_supervised,bo_exploration,3.0,0.17,map50,0.8016
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.32,map50,0.7989
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.8383
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0
yolo11n,A_unfinetuned,bo_exploration,3.0,0.05,map50,0.7495
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.02,map50,0.7477
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7647
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0007
yolo11n,B_finetuned_unsupervised,bo_exploration,4.0,0.08,map50,0.7637
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.47,map50,0.7213
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7588
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.0,map50,0.7258
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.0,map50,0.7258
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7783
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0002
yolo11m,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.6965
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.39,map50,0.7004
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6914
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0006
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.44,map50,0.7426
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.4,map50,0.7416
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7527
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.5,map50,0.7527
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,0.0,map50,0.7687
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7687
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0006
yolo11n,A_unfinetuned,bo_exploration,3.0,0.36,map50,0.7086
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.44,map50,0.7135
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7285
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.46,map50,0.5538
yolo11n,B_finetuned_unsupervised,bo_exploitation,4.0,0.49,map50,0.7615
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7628
yolo11n,C_finetuned_supervised,bo_exploration,2.0,0.05,map50,0.585
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.5,map50,0.734
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7856
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0002
yolo11m,A_unfinetuned,bo_exploration,3.0,0.44,map50,0.6327
